ACCEPT	Tamam
BNW_RANK_UI_COUNT	Baðýþ sayýsý
BNW_RANK_UI_NAME	Ýsim
BNW_RANK_UI_RANK	Rütbe
CANCEL	iptal
CHANGE_ATTR_SELECT	Bonusu deðiþtir
CHANGE_PASSWORD_CONFIRM	Þifreyi tekrarla
CHANGE_PASSWORD_NEW	Yeni þifre
CHANGE_PASSWORD_OLD	Eski þifre
CHANGE_PASSWORD_TITLE	Þifre Deðiþtir
CHARACTER_ACTION	Duygu
CHARACTER_EMOTICON	Ýfade
CHARACTER_MAIN	Karakter
CHARACTER_MUTUAL_ACTION	Ortak Hareket
CHARACTER_NORMAL_ACTION	Normal Hareket
CHARACTER_QUEST	Görevler
CHARACTER_SKILL	Beceri
CHARACTER_SPECTIAL_ACTION	Özel hareketler
CHATTING_SETTING_CANCLE	Ýptal et
CHATTING_SETTING_CLEAR	Sýfýrla
CHATTING_SETTING_DEFAULT_TITLE	Genel
CHATTING_SETTING_DETAIL	Sistem ayarlarý
CHATTING_SETTING_DICE	Zar
CHATTING_SETTING_DICE_SETTING	Zar ayarlarý
CHATTING_SETTING_EXP	Tecrübe
CHATTING_SETTING_GOLD	Para birimi
CHATTING_SETTING_GUILD	Lonca
CHATTING_SETTING_ITEM	Eþyalar
CHATTING_SETTING_LANGUAGE_1	Dil 1
CHATTING_SETTING_LANGUAGE_2	Dil 2
CHATTING_SETTING_LANGUAGE_3	Dil 3
CHATTING_SETTING_LANGUAGE_CUR	Mevcut dil ( %s )
CHATTING_SETTING_LANGUAGE_ONOFF	Filtre
CHATTING_SETTING_LIST	Liste
CHATTING_SETTING_NOTICE	Mesaj
CHATTING_SETTING_PARTY	Grup
CHATTING_SETTING_SAVE	Kaydet
CHATTING_SETTING_SHOUT	Çaðrý sohbeti
CHATTING_SETTING_SYSTEM	Sistem
CHATTING_SETTING_TABNAME	Sohbet adý ayarlarý
CHATTING_SETTING_TALKING	Genel
CHATTING_SETTING_TITLE	Sohbet ayarlarý
CHAT_FILTER	Sohbet Süzgeci
CHAT_FILTER_DICE	Zar
CLOSE	Kapat
COMB_APPEARANCE	Alýcý
COMB_ATTRIBUTE	Orijinal
COMB_MAIN	Alýcý
COMB_MATERIAL	Orijinal
COMB_SKILLBOOK_TILE	Kitap takas et
COMB_TITLE	
COMMUNITY_ACCEPT	Kabul et
COMMUNITY_ADD_FAVORITE_QUESTION	Favorilere eklensin mi?
COMMUNITY_AUTO_HUNT	Otomatik av kullanýyor
COMMUNITY_CHANNEL_INFO	Kanal: %d
COMMUNITY_CONFIG_FAMILY_MEMBER_LOGIN_ALARM	Eþ için çevrimiçi uyarý ekle
COMMUNITY_CONFIG_FRIEND_MEMBER_LOGIN_ALARM	Arkadaþlar için çevrimiçi uyarý ekle
COMMUNITY_CONFIG_GUILD_MEMBER_LOGIN_ALARM	Lonca üyeleri için çevrimiçi uyarý ekle
COMMUNITY_CONFIG_INCLUDE_FAMILY_MEMBER	Eþimin de engelle
COMMUNITY_CONFIG_INCLUDE_FRIEND_MEMBER	Arkadaþlarýmýn da engelle
COMMUNITY_CONFIG_INCLUDE_GUILD_MEMBER	Lonca üyelerinin de engelle
COMMUNITY_CONFIG_INIT	Sýfýrla
COMMUNITY_CONFIG_INIT_QUESTION	Ayarlarý sýfýrlamak istiyor musun?
COMMUNITY_CONFIG_LEVEL_INFO_SHOW	Arkadaþ listendeki arkadaþlarýna seviyeni göstermek için seç.
COMMUNITY_CONFIG_LOCATION_INFO_SHOW	Arkadaþ listendeki arkadaþlarýna konumunu göstermek için seç.
COMMUNITY_CONFIG_MAIN_BLOCK	Engelleme seçenekleri
COMMUNITY_CONFIG_MAIN_LOGIN_ALARM	Çevrimiçi uyarý ayarlarý
COMMUNITY_CONFIG_MAIN_MY_INFO_ALARM	Profil bildirim ayarlarý
COMMUNITY_CONFIG_OFF	KAPALI
COMMUNITY_CONFIG_ON	AÇIK
COMMUNITY_CONFIG_QUESTION_SAVE	Deðiþiklikleri kaydetmek istiyor musun?
COMMUNITY_CONFIG_SAVE	Kaydet
COMMUNITY_CONFIG_SUB_BLOCK_EXCHANGE	Ticareti engelle (1 : 1)
COMMUNITY_CONFIG_SUB_BLOCK_FRIEND_REQUEST	Arkadaþlýk isteðini engelle
COMMUNITY_CONFIG_SUB_BLOCK_GUILD_INVITE	Lonca davetini engelle
COMMUNITY_CONFIG_SUB_BLOCK_PARTY_INVITE	Grup davetlerini engelle
COMMUNITY_CONFIG_SUB_BLOCK_PARTY_REQUEST	Grup isteklerini engelle
COMMUNITY_CONFIG_SUB_BLOCK_WHISPER	Fýsýltýyý engelle
COMMUNITY_CONFIG_SUB_LOGIN_ALARM	Çevrimiçi uyarýlar
COMMUNITY_CONFIG_SUB_MY_INFO_ALARM	Profili göster
COMMUNITY_CONNECT	Çevrimiçi
COMMUNITY_DELETE_FAVORITE_QUESTION	Favorilerden kaldýrýlsýn mý?
COMMUNITY_DISCONNECT	Çevrimdýþý
COMMUNITY_DISCONNECT_DIALOG	Bu listedeki diðer kiþilere çevrimdýþý görüneceksin.
COMMUNITY_ERROR	Bilinmeyen
COMMUNITY_FAVORITE_BUTTON	Favorilere
COMMUNITY_GUILD_INFO	Lonca Bilgisi
COMMUNITY_HAS_NO_GUILD	Þu anda bir loncada deðilsin.
COMMUNITY_HAS_NO_GUILD_2	Mevcut loncalara göz at.
COMMUNITY_LEFT_SEAT	AFK
COMMUNITY_LEFT_SEAT_DIALOG	Bu listedeki diðer kiþilere AFK olarak görüneceksin.
AFK iken diðer oyuncularýn mesajlarýný
ve grup davetlerini kaçýrabilirsin.
COMMUNITY_MAIN_TAB_CONFIG	Ayar
COMMUNITY_MAIN_TAB_FRIEND	Arkadaþ
COMMUNITY_MAIN_TAB_GUILD	Lonca
COMMUNITY_MAIN_TITLE	Topluluk
COMMUNITY_MAP_INFO	Konum: %s
COMMUNITY_MESSENGER_BLOCK_DELETE	Engellemeyi kaldýr
COMMUNITY_MESSENGER_FRIEND_DELETE	Sil
COMMUNITY_MESSENGER_SUB_TAB_BLOCK	Engelleme listesi
COMMUNITY_MESSENGER_SUB_TAB_FRIEND	Arkadaþ listesi
COMMUNITY_MESSENGER_SUB_TAB_GUILD_MEMBER	Lonca Üyeleri
COMMUNITY_MESSENGER_SUB_TAB_REQUEST	Arkadaþlýk istekleri
COMMUNITY_MESSENGER_WHISPER	Fýsýltý
COMMUNITY_MOUSE_OVER_IN_STATUS_MESSAGE_BUTTON	Mesaj yazmak için týkla.
COMMUNITY_MY_STATUS_MESSAGE	Durum mesajý
COMMUNITY_NO_GUILD	Lonca yok
COMMUNITY_PARTY_INVITE	Grup daveti
COMMUNITY_REFUSE	Reddet
COMMUNITY_SHOP_OPEN	Market kullanýlýyor
COMMUNITY_STATUS_MESSAGE_GUILD_TEXT	Burada mesaj yazabilirsin.
COMMUNITY_TOOLTIP_LOVE_POINT	Sevgi Puaný: %d %%
COSTUME_TITLE	Kostümler
COSTUME_WINDOW_TITLE	Kostümler
CREATE_ATT_GRADE	STR
CREATE_CREATE	Oluþtur
CREATE_DEX_GRADE	DEX
CREATE_HP	HP
CREATE_LAST_POINT	Puan
CREATE_MAN	Erkek
CREATE_NAME	Isim
CREATE_NEXT	Sonraki
CREATE_PREV	Önceki
CREATE_SEX	Cinsiyet
CREATE_SHAPE	Biçim
CREATE_SP	INT
CREATE_STAT_RESET	Sýfýrla
CREATE_WOMAN	Kadýn
CUBE_INFO_TITLE	Arýndýrma Kýlavuzu
CUBE_RENEWAL_BELT_IMPROVE	Þansý artýr
CUBE_RENEWAL_TITLE	Arýndýrma
CUBE_REQUIRE_MATERIAL	Gerekli malzemeler:
CUBE_REQUIRE_MATERIAL_OR	veya
CUBE_TITLE	Arýndýrma Paneli
CURRENT_POINT	Mevcut Puan: %s
CZ_REWARD_WINDOW_TITLE	Zodyak Tapýnaðý
DO_CHANGE_ATTR	Uygula
DO_REFINE	Arýndýr
DRAGONSOUL_ACTIVATE	Etkinleþtir
DRAGONSOUL_CHANGE_ATTR_WINDOW_TITLE	Mitsi ejderha taþý için bonus dönüþümü
DRAGONSOUL_PAGE_BUTTON_1	Ýþlenmemiþ
DRAGONSOUL_PAGE_BUTTON_2	Yontulmuþ
DRAGONSOUL_PAGE_BUTTON_3	Ender
DRAGONSOUL_PAGE_BUTTON_4	Antika
DRAGONSOUL_PAGE_BUTTON_5	Efsanevi
DRAGONSOUL_PAGE_BUTTON_6	Mitsi
DRAGONSOUL_REFINE_WINDOW_TITLE	Arýndýrma Paneli
DRAGONSOUL_TAP_TITLE_1	Ejderha Elmasý
DRAGONSOUL_TAP_TITLE_2	Ejderha Yakutu
DRAGONSOUL_TAP_TITLE_3	Ejderha Yeþimi
DRAGONSOUL_TAP_TITLE_4	Ejderha Safiri
DRAGONSOUL_TAP_TITLE_5	Ejderha Grenasý
DRAGONSOUL_TAP_TITLE_6	Ejderha Oniksi
DRAGONSOUL_TAP_TITLE_7	Ejderha Ametisti
DRAGONSOUL_TITLE	Ejderha Taþý Simyasý
DRAGON_GATE_AUTO_REINFORCE_TEXT	
DRAGON_GATE_BASE_NAME	
DRAGON_GATE_NAME	
DRAGON_GATE_REINFORCE_TEXT	
DRAGON_GATE_SIDE_NAME	
DRAGON_GATE_SIDE_NAME_BY_INDEX	
DUTCHAUCTION_BUTTON	Git!
DUTCHAUCTION_TITLE	SALE
EMPIRE_A	Shinsoo
EMPIRE_ALL	Hepsi
EMPIRE_B	Chunjo
EMPIRE_C	Jinno
EMPIRE_EXIT	Çýkýþ
EMPIRE_NEXT	Sonraki
EMPIRE_PREV	Önceki
EMPIRE_SELECT	Seçim
END_TIME	Devam eden etkinlik
ENTER_BATTLE_FIELD	Katýl
EQUIPMENT_SLOT_1	Ýlk ekipman sayfasý
EQUIPMENT_SLOT_2	Ýkinci ekipman sayfasý
EVENT_ALARM_TITLE	Etkinlik genel görünümü
EVENT_NAME_TITLE	Ýsim
EVENT_REWARD_CHECK	Gör
EVENT_REWARD_LIST_TITLE	Ödül
EVENT_REWARD_TITLE	Ödül
EXCHANGE_ACCEPT	Kabul
EXCHANGE_TITLE	Ticaret
EXIT_BATTLE_FIELD	Savaþ Bölgesi'ni terk etmek istediðine emin misin?
EXIT_BATTLE_FIELD_ON_DEAD	Savaþ Bölgesi'nden %d puan ile ayrýlmak istiyor musun?
EXPIRED_TIME	Etkinlik bitti.
FISHING_RENEWAL_TITLE	Balýkçýlýk
FLOWER_EVENT_EXCHANGE_BUTTON_TEXT	Deðiþtir
FLOWER_EVENT_SHOOT_CHRYSANTHEMUM_TEXT	Kasýmpatý filizleri
FLOWER_EVENT_SHOOT_DAFFODIL_TEXT	Nergis filizleri
FLOWER_EVENT_SHOOT_LILY_TEXT	Zambak filizleri
FLOWER_EVENT_SHOOT_MAY_BELL_TEXT	Ýnci çiçeði filizleri
FLOWER_EVENT_SHOOT_SUNFLOWER_TEXT	Ayçiçeði filizleri
FLOWER_EVENT_TITLE	Envanterdeki filizler
FOOTBALL_EVENT_TITLE	Futbol Etkinliði
FOOTBALL_USE_BUTTON	Kullan
FORCE_EVENT_FORCE_MENU_TYPE	Yankýlar
FORCE_EVENT_FORCE_PLAY_TIME	Oyun Süresi
FORCE_EVENT_TITLE	Kuvvet Yankýlarý
FRAGMENT_COMB_TITLE	Beceri kitaplarýný birleþtir
GAMEOPTION_TITLE	Seçenekler
GAME_EXIT_OBSERVER	Ýzlemeyi Bitir
GAME_GUILD_WAR_JOIN	Lonca savaþýna katýl
GAME_HELP	Yardým
GAME_QUEST	Görevler
GAME_SKILL_UP	Becerileri Geliþtir
GAME_STAT_UP	Statü Geliþtir
GEMSHOP_LEFTTIME	Kalan süre
GEMSHOP_TITLA	GAYA MAÐAZASI
GOLDEN_LAND_EVENT_POSSESSION_COUNT	Miktar
GOLDEN_LAND_EVENT_TITLE	Primordis keþfi
GOLDEN_LAND_EVENT_TREE_FRUIT_TOOLTIP	Katlarda bulduðun acý dutlarý Kervan Tüccarý’nda altýn dutlarla takas edebilirsin.
GOLDEN_LAND_EVENT_YELLOW_FRUIT_TOOLTIP	Katlarda bulduðun acý dutlarý Kervan Tüccarý’nda altýn dutlarla takas edebilirsin.
GOLDEN_LAND_FIND_GOLDEN_FRUIT_FIND_CARD	Alan aç
GOLDEN_LAND_FIND_GOLDEN_FRUIT_NEED_YELLOW_FRUIT_COUNT	Gerekli altýn dutlar:
GOLDEN_LAND_FIND_GOLDEN_FRUIT_REWARD	Ödül
GOLDEN_LAND_FIND_GOLDEN_FRUIT_TITLE	Altýn dut avý
GOLDEN_LAND_FIND_GOLDEN_FRUIT_TOOLTIP_RESET	Sýfýrla
GOLDEN_LAND_FIND_GOLDEN_FRUIT_YELLOW_FRUIT_COUNT	Sahip olduðun altýn dutlar:
GOLDEN_LAND_STAGE_EXIT_BUTTON	Çýk
GOLDEN_LAND_STAGE_EXIT_QUESTION	Pes etmek istediðinden emin misin? Altýn Topraklar’a geri ýþýnlanacaksýn.
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_1	1. kat
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_2	2. kat
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_3	3. kat
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_4	4. kat (Vaha)
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_5	5. kat
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_6	6. kat
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_7	7. kat
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_8	8. kat (Vaha)
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_9	9. kat
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_10	10. kat
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_11	11. kat
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_12	12. kat (Vaha)
GOLDEN_LAND_STAGE_REMAIN_TIME	%d dakika
GOLDEN_LAND_STAGE_REMAIN_TIME_1M	1 dakikanýn altýnda
GRADE	Sýnýf
GRADE_SELECT	Sýnýf
GRAPHICONOFF_DROP_ITEM_APPLY	Uygula
GRAPHICONOFF_DROP_ITEM_LEVEL	Eþya düþürme
GRAPHICONOFF_DROP_ITEM_LEVEL1	1
GRAPHICONOFF_DROP_ITEM_LEVEL1_TOOLTIP	Efekt ve ismi göster
GRAPHICONOFF_DROP_ITEM_LEVEL2	2
GRAPHICONOFF_DROP_ITEM_LEVEL2_TOOLTIP	Efekti gizle
GRAPHICONOFF_DROP_ITEM_LEVEL3	3
GRAPHICONOFF_DROP_ITEM_LEVEL3_TOOLTIP	Efekt ve ismi gizle
GRAPHICONOFF_DROP_ITEM_LEVEL4	4
GRAPHICONOFF_DROP_ITEM_LEVEL4_TOOLTIP	Eþyalarý gizle ve ismi fare ile göster
GRAPHICONOFF_DROP_ITEM_LEVEL5	5
GRAPHICONOFF_DROP_ITEM_LEVEL5_TOOLTIP	Eþyalarý gizle ve ismi gösterme
GRAPHICONOFF_EFFECT_APPLY	Uygula
GRAPHICONOFF_EFFECT_LEVEL	Efektler
GRAPHICONOFF_EFFECT_LEVEL1	1
GRAPHICONOFF_EFFECT_LEVEL1_TOOLTIP	Tümünü göster
GRAPHICONOFF_EFFECT_LEVEL2	2
GRAPHICONOFF_EFFECT_LEVEL2_TOOLTIP	Sadece benimkileri ve canavar efektlerini
GRAPHICONOFF_EFFECT_LEVEL3	3
GRAPHICONOFF_EFFECT_LEVEL3_TOOLTIP	Sadece benimkileri ve diðer oyuncu efektlerini
GRAPHICONOFF_EFFECT_LEVEL4	4
GRAPHICONOFF_EFFECT_LEVEL4_TOOLTIP	Sadece benimkileri göster
GRAPHICONOFF_EFFECT_LEVEL5	5
GRAPHICONOFF_EFFECT_LEVEL5_TOOLTIP	Hiçbirini gösterme
GRAPHICONOFF_NPC_NAME_STATUS	YZK isimleri
GRAPHICONOFF_NPC_NAME_STATUS_OFF	Kapalý
GRAPHICONOFF_NPC_NAME_STATUS_OFF_TOOLTIP	YZK isimlerini gizle
GRAPHICONOFF_NPC_NAME_STATUS_ON	Alýcý
GRAPHICONOFF_NPC_NAME_STATUS_ON_TOOLTIP	YZK isimlerini görüntüle
GRAPHICONOFF_PET_STATUS	Petler
GRAPHICONOFF_PET_STATUS_OFF	Kapalý
GRAPHICONOFF_PET_STATUS_OFF_TOOLTIP	Peti gizle
GRAPHICONOFF_PET_STATUS_ON	Açýk
GRAPHICONOFF_PET_STATUS_ON_TOOLTIP	Peti göster
GRAPHICONOFF_PRIVATE_SHOP_APPLY	Uygula
GRAPHICONOFF_PRIVATE_SHOP_LEVEL	Özel dükkanlar
GRAPHICONOFF_PRIVATE_SHOP_LEVEL1	1
GRAPHICONOFF_PRIVATE_SHOP_LEVEL1_TOOLTIP	Tümünü göster
GRAPHICONOFF_PRIVATE_SHOP_LEVEL2	2
GRAPHICONOFF_PRIVATE_SHOP_LEVEL2_TOOLTIP	Geniþ çevredeki tümünü göster
GRAPHICONOFF_PRIVATE_SHOP_LEVEL3	3
GRAPHICONOFF_PRIVATE_SHOP_LEVEL3_TOOLTIP	Orta çevredeki tümünü göster
GRAPHICONOFF_PRIVATE_SHOP_LEVEL4	4
GRAPHICONOFF_PRIVATE_SHOP_LEVEL4_TOOLTIP	Yakýn çevredeki tümünü göster
GRAPHICONOFF_PRIVATE_SHOP_LEVEL5	5
GRAPHICONOFF_PRIVATE_SHOP_LEVEL5_TOOLTIP	Direkt çevredeki tümünü göster
GUILDWINDOW_BASE_BUFF	Lonca avantajlarý
GUILD_ATTENDANCE_LOCA1	Ýlk katýlým: 1x Onur madalyasý
GUILD_ATTENDANCE_LOCA2	10 veya üstü: 1x Onur madalyasý
GUILD_ATTENDANCE_LOCA3	20 veya üstü: 2x Onur madalyasý
GUILD_ATTENDANCE_LOCA4	30 veya üstü: 4x Onur madalyasý
GUILD_ATTENDANCE_LOCA5	40 veya üstü: 6x Onur madalyasý
GUILD_ATTENDANCE_LOCA6	50 veya üstü: 8x Onur madalyasý
GUILD_ATTENDANCE_LOCA7	60 veya üstü: 10x Onur madalyasý
GUILD_ATTENDANCE_LOCA8	70 veya üstü: 12x Onur madalyasý
GUILD_ATTENDANCE_LOCA9	Katýlým baþlangýcý: her gün saat 5:00'da
GUILD_ATTENDANCE_TITLE	Katýlým ödülü
GUILD_BANKINFO_CLOSE	Kapat
GUILD_BANKINFO_NAME	Üye
GUILD_BANKINFO_TITLE	Lonca deposu geçmiþi
GUILD_BANKINFO_TYPE	Nesne/Para birimi
GUILD_BANKINFO_USETYPE	Eylem
GUILD_BANK_CLOSE	Kapat
GUILD_BANK_INFO	Depo s.:
GUILD_BASEINFO_BANK	Lonca deposu
GUILD_BASEINFO_BANKLASTOUT	Son eþya alýmý
GUILD_BASEINFO_BUILDING	Lonca binasý
GUILD_BASEINFO_FACTORY	Lonca demircisi
GUILD_BASEINFO_GUILDLAND	Lonca bölgesi
GUILD_BASEINFO_LANDSCAPE	Diðer
GUILD_BASEINFO_LOCALE	Konum
GUILD_BASEINFO_MONEY	Hesap bakiyesi
GUILD_BASEINFO_MONEYBANKINFO	Lonca bankasý bilgisi
GUILD_BASEINFO_MONEYLASTOUT	Son para çekme
GUILD_BASEINFO_POWER	Güç Sunaðý
GUILD_BASEINFO_SMEITER	Lonca simyacýsý
GUILD_BASEINFO_TITLE	Bölge bilgileri
GUILD_BASENAME	Temel isim
GUILD_BATTLE_AREA_MOVE_BUTTON	Iþýnlanma
GUILD_BATTLE_RANK_BOARD	Sýralama listesi
GUILD_BATTLE_RANK_BOARD_MOB_KILL	MOB\ndevirme
GUILD_BATTLE_RANK_BOARD_NAME	Ýsim
GUILD_BATTLE_RANK_BOARD_PC_DEAD	OK\nöldürme
GUILD_BATTLE_RANK_BOARD_PC_KILL	OK-\ndevirme
GUILD_BATTLE_RANK_BOARD_RANK	Sýra
GUILD_BATTLE_RANK_BOARD_TEAM	Takým
GUILD_BATTLE_RESULT_BOARD	Lonca Savaþý Sonuçlarý
GUILD_BATTLE_RESULT_BOARD_EXIT	Çýk
GUILD_BATTLE_RESULT_BOARD_RANKING	Sýra
GUILD_BATTLE_STATUS_BOARD	Sýralama Listesi
GUILD_BOARD_ID	Isim
GUILD_BOARD_REFRESH	Yenile
GUILD_BOARD_TEXT	Mesaj
GUILD_BUILDING_CATEGORY_TITLE	Ýnþaat Birimleri
GUILD_BUILDING_CHANGE	Deðiþtir
GUILD_BUILDING_CHANGE_DELETE	Sil
GUILD_BUILDING_CHANGE_FIX	Lonca deðiþikliði
GUILD_BUILDING_CHANGE_LIST	Lonca nesneleri listesi
GUILD_BUILDING_DIRECTION	Yön
GUILD_BUILDING_FIX	Deðiþtir
GUILD_BUILDING_GRADE	Sýra
GUILD_BUILDING_INFO	Yapýlar ve masraf bilgileri
GUILD_BUILDING_LIST_TITLE	Bina Listesi
GUILD_BUILDING_LOG	dilb kök
GUILD_BUILDING_NAME	Bina ismi
GUILD_BUILDING_OPERATE	Yönet
GUILD_BUILDING_PLY	Kontrplak
GUILD_BUILDING_POSITION	Pozisyon
GUILD_BUILDING_PREVIEW	Önizleme
GUILD_BUILDING_PRICE	Fiyat
GUILD_BUILDING_REFRESH	Yenile
GUILD_BUILDING_STONE	Taþ
GUILD_BUILDING_TITLE	Lonca Meclis Binalarý
GUILD_CRYSTAL	Kristal
GUILD_DEPOSIT	Depozit
GUILD_DONATE_BUTTON_OVER_TEXT	Rastgele eþya
GUILD_DONATE_COUNT	Mevcut baðýþlar: %d/%d
GUILD_DONATE_GET_MEDAL_OF_HONOR	%d
GUILD_DONATE_GUILD_EXP	Lonca EXP
GUILD_DONATE_HIGH_MATERIAL	Büyük baðýþ
GUILD_DONATE_MEDAL_OF_HONOR	Onur madalyasý
GUILD_DONATE_MIDDLE_MATERIAL	Orta baðýþ
GUILD_DONATE_MY_MEDAL_OF_HONOR	Onur madalyalarým
GUILD_DONATE_NORMAL_MATERIAL	120.000 Yang
GUILD_DONATE_TAB_HIGH	Büyük baðýþ
GUILD_DONATE_TAB_MIDDLE	Orta baðýþ
GUILD_DONATE_TAB_NORMAL	Küçük baðýþ
GUILD_DONATE_TITLE	Baðýþ EXP
GUILD_DRAGONLAIR_RANKING	En Ýyiler Listesi
GUILD_DRAGONLAIR_RANKING_COUNT	Sýra
GUILD_DRAGONLAIR_RANKING_MEMBER	Üyeler
GUILD_DRAGONLAIR_RANKING_NAME	Lonca
GUILD_DRAGONLAIR_RANKING_TIME	Zaman
GUILD_DROP_RESOURCE1	Burada
GUILD_DROP_RESOURCE2	Düþen Kaynak
GUILD_GEM	Deðerli Taþ
GUILD_GRADE_CHANGE_GRADE_NAME	Yeni rütbe ismi
GUILD_GRADE_NUM	No.
GUILD_GRADE_PERMISSION_BANK	Lonca bankasý ve lonca deposunu kullanabilir
GUILD_GRADE_PERMISSION_DELETE	Loncadan çýkar
GUILD_GRADE_PERMISSION_JOIN	Loncaya oyuncular alabilir
GUILD_GRADE_PERMISSION_NOTICE	Lonca notlarýný asabilir
GUILD_GRADE_PERMISSION_SKILL	Lonca becerileri
